"ITEM_SALE_BK"|"DATE"|"SUPPORT_ITEM_BK"|"QUANTITY"|"DESCRIPTION"|"TOTAL"|"BUSINESS_UNIT_BK"|"ACCOUNT_NUMBER"|"CARD_ID"|"H_ITEM_SALE_SID"|"ITEM_SALE_DETAIL_BK"|"H_ITEM_SALE_DETAIL_SID"|"H_BUSINESS_UNIT_SID"|"H_NDIS_SUPPORT_ITEM_SID"|"AMOUNT"|"WORKFLOW_PATH"|"WORKFLOW_NAME"|"WORKSPACE"|"SOURCE"|"LOAD_DATE_TIME"
"17203"|"11/07/2018"|"04_107_0136_6_1"|3.0|"2016-12-08 CBG-WD"|"$60.72"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(92)"|"549c99dbea04e3926f48cf75c63827c48bb88d25"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"0a7c256cd37a94a40ea3c0228ba5d8bb57f83493"|60.72|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_111_0136_6_1"|3.0|"2016-12-08 GRCOMS1:2-WD"|"$67.05"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(93)"|"9099349c82a99d61986a49b5379f3957748abe98"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"54c4fdba44d014693a1e1d49870e6efc69d7cec8"|67.05|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_111_0136_6_1"|6.0|"2016-12-09 GRCOMS1:2-WD"|"$134.10"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(94)"|"73418e329ce2624c4bf095f539a151613be912a6"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"54c4fdba44d014693a1e1d49870e6efc69d7cec8"|134.1|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_107_0136_6_1"|3.0|"2016-12-12 CBG-WD"|"$60.72"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(95)"|"6336ab4a36f69475b8c46c30cd7d447ea1890de0"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"0a7c256cd37a94a40ea3c0228ba5d8bb57f83493"|60.72|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_111_0136_6_1"|3.0|"2016-12-12 GRCOMS1:2-WD"|"$67.05"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(96)"|"b15e598765b92cc0036f863bd471b41d2f8767a3"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"54c4fdba44d014693a1e1d49870e6efc69d7cec8"|67.05|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_107_0136_6_1"|3.0|"2016-12-13 CBG-WD"|"$60.72"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(97)"|"357d73a314811531afe520acc815f094febc24e0"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"0a7c256cd37a94a40ea3c0228ba5d8bb57f83493"|60.72|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_111_0136_6_1"|3.0|"2016-12-13 GRCOMS1:2-WD"|"$67.05"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(98)"|"091996db5417b44ec0c773e8f93bd6ccea918be1"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"54c4fdba44d014693a1e1d49870e6efc69d7cec8"|67.05|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_107_0136_6_1"|3.0|"2016-12-14 CBG-WD"|"$60.72"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(99)"|"8810759605b42f7cf908a0c6a5a745d91bd2ac2c"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"0a7c256cd37a94a40ea3c0228ba5d8bb57f83493"|60.72|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_111_0136_6_1"|3.0|"2016-12-14 GRCOMS1:2-WD"|"$67.05"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(100)"|"6e0fa466e49adc097a037105f0163d2586fed683"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"54c4fdba44d014693a1e1d49870e6efc69d7cec8"|67.05|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_107_0136_6_1"|3.0|"2016-12-15 CBG-WD"|"$60.72"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(101)"|"9241abee48da69c0dde61e38f61c99e0e3ab92ef"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"0a7c256cd37a94a40ea3c0228ba5d8bb57f83493"|60.72|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_111_0136_6_1"|3.0|"2016-12-15 GRCOMS1:2-WD"|"$67.05"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(102)"|"1c9bfb6570bfe4d7fe7cd4f51fd9fbcb5d70dbe8"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"54c4fdba44d014693a1e1d49870e6efc69d7cec8"|67.05|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_111_0136_6_1"|6.0|"2016-12-16 GRCOMS1:2-WD"|"$134.10"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(103)"|"865124908286b5d90efe672f9f93854283f11ec6"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"54c4fdba44d014693a1e1d49870e6efc69d7cec8"|134.1|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_107_0136_6_1"|3.0|"2016-12-19 CBG-WD"|"$60.72"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(104)"|"774a761f15f8fe05de4838f5e600db675eba5d77"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"0a7c256cd37a94a40ea3c0228ba5d8bb57f83493"|60.72|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_111_0136_6_1"|3.0|"2016-12-19 GRCOMS1:2-WD"|"$67.05"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(105)"|"10646cf99cdfd93edc1ad8bc8ed47cc86fe9dd71"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"54c4fdba44d014693a1e1d49870e6efc69d7cec8"|67.05|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
